Date,Name,Distance,Note
23.07.20,72k 한강 주/야간 순환 라이딩,72,
23.07.17,31k 성남 ~ 양재천 순환 라이딩,31,
23.07.09,71k 잠실철교~구리한강~왕숙천~암사대교~잠실한강~탄천,71,
23.07.07,14k 판교 안양 고개 야간 라이딩,14,
23.07.05,6k 성남 서현동~야탑동 저녁 라이딩,6,
23.07.02,89k 성남~반포~마포대교~하늘공원~뚝섬공원~잠실철교~양재천~청계산입구~성남,89,
23.06.25,40k 성남~한강 야간 라이딩 (성남~가락동~반포대교~청담~가락동~성남),40,
"23.06.11","81k [왕복] 여주 금은모래캠핑장 ~ 강천섬 ~ 문막 ~ 원주 간현유원지 (전체영상,사진,음악포함)","81",
23.06.10,45k 성남 ~ 잠실한강 ~ 한남대교 ~ 양재천 ~ 청계산 ~ 성남 라이딩 (전체영상),45,
23.06.05,150k 남양주 능내역 ~ 춘천 의암호 라이딩 여행 (전체영상),150,
23.06.03,106k 성남 ~ 기흥호수 ~ 동탄 반석산공원 ~ 오산천 (전체 통합),106,
23.05.31,30k 삼척 라이딩,30,
23.05.16,120k 남지읍 ~ 창녕함안보 ~ 양산물문화관 ~ 낙동강하구둑 ~ 다대포항 (전체영상),120,
23.05.15,180k 상주낙단보~대구~경남합천~의령~박진고개~남지읍구간 (전체영상),180,
23.05.14,180k 여주~충주~상주보~상주낙단보민박 (전체영상),180,
